-5.000000000000000000e+00 2.763195299999999932e+01
-3.888888999999999818e+00 1.755603200000000186e+01
-2.777778000000000080e+00 9.761711999999999279e+00
-1.666666999999999899e+00 5.408771999999999913e+00
-5.555560000000000498e-01 2.358782999999999852e+00
5.555560000000000498e-01 2.676611999999999991e+00
1.666666999999999899e+00 5.333693999999999491e+00
2.777778000000000080e+00 1.014384199999999936e+01
3.888888999999999818e+00 1.747930900000000065e+01
5.000000000000000000e+00 2.779954700000000045e+01
